datetime,open,close,high,low,volume,money,open_interest
2022-01-11,700.019,719.053,720.444,697.13,866817.0,61889111200.0,1056824.0
2022-01-12,722.759,733.71,737.648,717.485,722156.0,52673441000.0,1072144.0
2022-01-13,736.318,723.059,744.687,722.896,812630.0,59919271550.0,1066205.0
2022-01-14,717.835,719.162,729.032,710.925,815808.0,58797473200.0,1059665.0
2022-01-17,716.135,701.037,718.73,696.172,876025.0,61830260550.0,1040659.0
2022-01-18,701.388,710.676,711.001,691.358,778772.0,54809042100.0,1053044.0
2022-01-19,718.028,731.417,737.358,713.828,894133.0,65332673550.0,1032615.0
2022-01-20,734.231,737.955,743.271,728.624,723924.0,53387210000.0,1059130.0
2022-01-21,738.713,751.09,757.123,736.623,807182.0,60607744400.0,1076573.0
2022-01-24,752.098,736.822,767.579,736.545,857391.0,64676961950.0,1063487.0
2022-01-25,738.392,762.035,762.531,733.769,750121.0,56185999800.0,1076161.0
2022-01-26,763.639,770.464,771.294,749.022,794210.0,60664771750.0,1065621.0
2022-01-27,769.43,764.761,775.987,756.489,665650.0,51189711150.0,1027283.0
2022-01-28,767.174,821.425,822.428,766.814,805468.0,64018336800.0,995981.0
2022-02-07,804.309,809.835,820.869,789.766,560099.0,45389473500.0,998676.0
2022-02-08,816.055,814.684,834.612,808.337,894657.0,73992621250.0,1012539.0
2022-02-09,806.828,775.419,810.75,772.706,1005124.0,79778973200.0,1043015.0
2022-02-10,777.478,814.517,818.031,773.542,843080.0,67441685000.0,1050722.0
2022-02-11,827.919,797.957,841.631,795.562,973681.0,80886305550.0,1073965.0
2022-02-14,786.764,770.628,791.907,755.438,1153236.0,89268090100.0,1017217.0
2022-02-15,758.883,693.118,761.253,693.084,1306899.0,94720507700.0,1008900.0
2022-02-16,699.013,713.894,718.981,690.667,836771.0,59265526100.0,1010040.0
2022-02-17,718.153,679.218,721.171,670.086,1112419.0,76983476650.0,1044534.0
2022-02-18,669.581,680.858,686.213,658.553,990183.0,66610973050.0,1028621.0
2022-02-21,683.4,699.353,700.546,663.654,975731.0,66533525150.0,1019601.0
2022-02-22,705.804,677.572,710.819,676.046,801876.0,56283202650.0,1018044.0
2022-02-23,676.526,694.792,710.085,674.996,934766.0,65122624100.0,1024937.0
2022-02-24,694.272,698.579,710.507,684.768,981807.0,68687967950.0,1019438.0
2022-02-25,701.64,675.552,709.188,651.31,1163446.0,79608576250.0,1018228.0
2022-02-28,678.329,699.541,706.627,676.091,977182.0,67973226150.0,982392.0
2022-03-01,704.297,731.267,733.93,697.673,900205.0,64610122750.0,955142.0
